Disease ,Gender,Age,Sym1,Sym2,Sym3,Sym4,Sym5,Sym6,Sym7,Sym8,Sym9,Sym10,Sym11,Sym12,Sym13,Sym14,Sym15
Malignant Fibrous Histiocytoma ,both,common,Anorexia,Weight loss,Lethargy,Firm,arising in subcutaneous tissue,underlying skeletal muscle,induce bone destruction and proliferation,dorsal thoracic and scapular area and pelvic region,,,,,,,
Dysautonomia,both,five,Vomiting,Dilated pupils,Low or absent anal tone,Diarrhea,Straining,Difficulty urinating or defecating,Distended bladder,Decreased tear production,Protrusion of third eyelid,,,,,,
Myelodysplastic Syndromes ,both,fifteen,Lethargy,Exercise intolerance,Depression,Anorexia,Fever,Pale mucous membranes,Heart murmur due to anemia,,,,,,,,
Adenocarcinoma - Renal,both,ten,Adenocarcinoma,Weight loss,Inappetance,Lethargy,Hematuria pale mucous membranes,,,,,,,,,,
Mushroom Toxicoses ,both,common,Psychoactive species,dried product remains toxic,Psychoactive species,Psychoactive species,combined mushroom,Psychoactive species,Psychoactive species,,,,,,,,
Blastomycosis ,male,common,Weight loss,depressed appetite,Coughing and dyspnea,Eye inflammation and discharge,Lameness,Lesions,Lymph node,lung aspirates,tracheal wash fluid,enucleated blind eyes,Organisms,Coughing,Syncope if cardiac involvement,,
Retinal Degeneration,male,five,Night Blindness,Blindness in light,Dilated pupils,Inability to see clearly in bright light,only central vision may be lost,abnormal reactions to light,The liver may also be affected,Sudden Blindness,,,,,,,
Lymphadenitis ,both,common,Lymph node,organ dysfunction,Lymph node,Bacterial,Fever,,,,,,,,,,
Anemia - Regenerative,both,common,Pallor,Weakness,Exercise intolerance,Anorexia,Possible heart murmur,Tachycardia,Bounding pulses,Possible Jaundice and hemoglobinuria,Petechiae,,,,,,
Ivermectin and Other Macrocyclic Lactones Toxicosis,both,common,Lethargy,Ataxia,Hypersalivation,Tremors,Mydriasis,Blindness,Bradycardia,,,,,,,,
Ehrlichiosis,both,five,Fever,Lethargy,Loss of Appetite,Weight loss,Abnormal Bleeding,Lymph node,Enlarged spleen,Stiffness,Coughing,Discharge from the eyes and nose,Vomiting,Inflammation of the eye,Incoordination,Depression,paralysis
Hypermetria and Dysmetria,both,common,Head tilt,Body swaying,Body Tremors,Wide leg stance,Loss of the menace response,Unequal pupil size,Abnormal movements,,,,,,,,
ChondrosarComa - Nasal and Paranasal Sinus ,both,common,Bilateral epistaxis,Sneezing,stertorous breathing,Facial deformity,Decreased appetite,Seizures,behavior changes,,,,,,,,
Adenocarcinoma - Pancreas,both,ten,fever,Vomiting,Weakness,Anorexia,Icterus,malabsorption syndrome,Weight loss,Abdominal pain,Abdominal effusion,,,,,,
Primary Ciliary Dyskinesia,both,common,Sneezing,Nasal discharge,Coughing,Exercise intolerance,Dramatic initial response,Bilateral mucopurulent Nasal discharge,Productive Coughing,Tachypnea,dyspnea,Diffuse increase in lung sounds,Heart sounds can be inaudible,,,,
Intussusception,both,five,Diarrhea,Vomiting,Decreased appetite,Bloody,Hunched back,Crying,,,,,,,,,
Hypertension-Portal,both,five,Yellow eyes,Fluid retention,Coughing,Exhaustion,Breathing difficulty,Diarrhea,Pain in the abdomen,Appetite loss,Weight loss,Excessive sleepiness,Not wanting to play or exercise,,,,
Prostatitis and Prostatic Abscess,male,ten,Lethargy,Anorexia,Tenesmus,Dysuria,Pyrexia,Pain at prostatic or caudal abdominal palpation,Sanguineous urethral discharge,Stiff hindlimb gait,Septic shock,,,,,,
Hyperphosphatemia,both,common,Excessive thirst,Excessive urination,Muscle Tremors,Muscle wasting,Seizures,Decreased bone density,,,,,,,,,
Mesothelioma ,male,common,Pleural effusion,dyspnea,tachypnea,Exercise intolerance,Coughing,Gagging,Cyanosis,Pericardial effusion,Lethargy,Anorexia,Weakness,Collapse,Respiratory distress,Weakness,Stomach pain
Hyponatremia,both,common,Lack of energy,Vomiting,Seizures,Less alert,Disorientation,Loss of Appetite,Lowered muscle strength,,,,,,,,
Rodenticide Toxicosis?Bromethalin,both,common,Lethargy,decreased consciousness,Weakness,hind limb paralysis,Tremors,Seizures,Coma,,,,,,,,
Right Bundle Branch Block,both,common,Exercise intolerance,Weakness,Lethargy,Fainting,Increased breathing rate,Fluid in the abdomen,,,,,,,,,
Adenocarcinoma - Skin ,female,common,Firm,raised,Lesions,Bleeding,Apocrine sweat gland,Sebaceous gland,,,,,,,,,
Cholecystitis and Choledochitis,both,common,Choledochitis,vague signs,variable Icterus,Sudden onset,inappetence,Lethargy,Vomiting,Abdominal pain,fever,Chronic,shock due to endotoxemia,bacteremia,hypovolemia,Depression,
Ovarian Tumors,both,common,vulvar enlargement,vaginal discharge,persistent estrus (menstruation and heat),pyometra (pus in the uterus),Lethargy,Lack of appetite,Weight loss,thinning of the haircoat,,,,,,,
Pyothorax,male,common,fever,Vomiting,Diminished activity,Collapse,Weight loss,Temporary improvement with antibiotic therapy,Firm,Tachypnea,may be mild and not associated with respiratory difficulty,Cachexia,Coughing,Pyrexia,Thoracic auscultation,may reveal muffled heart sounds,reduce breath sound
Bile Peritonitis ,both,common,Lethargy,Abdominal pain,Jaundice,Abdominal effusion,Fever,Endotoxic shock,Abdominal discomfort,Anorexia,Diarrhea,Weight loss,Abdominal distention,Collapse,,,
Aortic Stenosis,both,five,Arrhythmias may be ausculted,Pulse deficits,Weak pulses,Tachypnea,Respiratory distress,Systolic left basilar ejection murmur,,,,,,,,,
Aspirin Toxicosis,both,common,Depression,Anorexia,Vomiting,vomitus may be blood tinged,Tachypnea,Hyperthermia,Weakness,Ataxia,Coma,Seizures,,,,,
Infertility-female,female,ten,False pregnancy due to an ovarian cyst,Metabolic hypothyroidism,Uterine infections,Increased swelling of vulva,Decreased Bleeding,Irregular ovarian cycles,Split heats,Hypoluteoidism,Failure to cycle,Refusal to breed,,,,,
Mast Cell Tumors ,both,common,Lipomas,Regional edema,lymphadenopathy,intermittent,Systemic illness,Vomiting,Anorexia,Weight loss,,,,,,,
Baclofen Toxicosis ,both,common,Vomiting,Ataxia,Disorientation,Respiratory failure,Seizures,Drooling,Weakness,Hypothermia,Panting,Edema (pulmonary),Tremors,Dilated pupils,Slow heartbeat,,
Ehrlichiosis,both,five,Fever,Lethargy,Loss of Appetite,Weight loss,Abnormal Bleeding,Lymph node,Enlarged spleen,Stiffness,Coughing,Discharge from the eyes and nose,Vomiting,Inflammation of the eye,Incoordination,Depression,paralysis
Gastroenteritis-Hemorrhagic,both,five,Vomiting,Sudden onset of diarrhoea,Lots of blood in dog stool,Lack of appetite,Lethargy,Abdominal pain,Dehydration,Fever,,,,,,,
Adenocarcinoma - Stomach-Small and Large Intestine-Rectal,both,five,Vomiting,Anorexia,Weight loss,hematemesis,Melena,borborygmus,Flatulence,,,,,,,,
Gastroenteritis-Eosinophilic,both,five,Vomiting,Diarrhea,Lack of appetite,Lethargy,Abdominal discomfort,Weight loss,,,,,,,,,
Vestibular Disease - Geriatric ,both,fifteen,peripheral vestibular dysfunction,If vestibular signs are severe,Eye discharge,Sudden onset of imbalance,Disorientation,irregular eye movements,Vomiting,Head tilt mild to marked,directed toward the side of the lesion,erratic side-to-side head,Abnormal nystagmus common in early stages,either horizontal,abnormal nystagmus usually mild,Vomiting,Weakness
Paraphimosis- Phimosis- and Priapism,both,common,swelling,severe defects in urination,may cause pooling of urine in preputial cavity,can lead to balanoposthitis and even septicemia,Paraphimosis,urethral obstruction,edema and swelling,Priapism persistent penile erection,Firm,,,,,,
Drowning,both,five,Labored or open-mouthed breathing,Apnea,Irregular breathing,Posture changes,Weak pulse,Loss of consciousness,Hypothermia,Cyanosis,changes in the color of mucous membranes,Pulmonary edema,fluid in the lungs,Acidosis,Coughing,Vomiting,
Peripheral Edema,both,common,Allergic or other immunecardiac,hepatic,Trauma,Exposure to toxic,infectious agents such as ticks or other arachnids,Unexplained weight gain may be noted initially,Non-inflammatory Subcutaneous edema,Inflammatory edema,,,,,,,
Pleural Effusion,both,common,Dyspnea,Tachypnea,Orthopnea,Open-mouth breathing,Cyanosis,Exercise intolerance,Lethargy,Inappetence,Coughing,respirations often shallow and rapid,lung sounds ventrally,Preservation of breath sounds dorsally,Dullness ventrally on thoracic percussion,,
Demodicosis,both,common,Hair loss in patches,Rubbing their face or head,Redness or inflammation of the skin,Excessive oil on the skin,Crusting on the skin,Paws that are swelling,,,,,,,,,
Battery Toxicosis ,both,common,Abdominal pain,Black tarry feces,Difficulty swallowing,Drooling,Fever,Increase in white blood cells,Lack of appetite,Lethargy,Mouth pain,Ulcers in the mouth,Ulcers on tongue,Vomiting,Oral Ulcerations,Bad breath,
Hyperviscosity Syndrome,both,common,Loss of Appetite,Lethargy,Depression,Excessive urination and excessive thirst,Blindness,unsteadiness,Bleeding tendencies,Seizures,Rapid heartbeat,Nosebleed,optic swelling,,,,
Hepatitis-Chronic,both,ten,Lethargy,Weight loss,Vomiting,Lack of appetite,Jaundice,,,,,,,,,,
Pemphigus,both,fifteen,Scales,crust,Pustules,Epidermal collarettes,erosions,Erythema,Alopecia,Occasional vesicles are transient,Lesions,,,,,,
Thymoma,both,fifteen,Difficulty swallowing,Exercise intolerance,Swelling of the face,,,,,,,,,,,,
Snake Venom Toxicosis?Coral Snakes,both,common,Excess salivation,Rapid breathing,Loss of control of bodily movements,Alteration of mental state,Difficulty swallowing,Changes in spinal reflexes Muscle twitches,Weakness,Shallow breathing,Loss of sensation in all limbs,Loss of vocal ability,,,,,
Hypertension-Pulmonary,female,five,Exercise intolerance,Difficulty breathing,Rapid breathing,Coughing,Spitting up blood from the lungs,Fainting,Weight loss,Heart murmur,Distended jugular veins in the neck,Fluid buildup under the skin,Sudden death,,,,
Alopecia - Non-inflammatory,both,five,Alopecia,Hair coat,Secondary seborrhea,Pruritus,pyoderma,comedones,Enlargement of nipples,mammary glands,Macular melanosis and linear preputial dermatitis,Tail gland hyperplasia,Systemic signs,,,,
Pneumonia- Bacterial,male,common,Coughing,Labored breathing,Exercise intolerance,Weight loss,Lethargy,Nasal discharge,Fever,Difficult or rapid breathing,Abnormal breath sounds,crackles and wheezes,Weight loss,Nasal discharge,Lethargy,Dehydration,
Notoedric Mange ,both,common,Non-seasonal intense Pruritus,initial Pruritus,Change from mild Pruritus,not develop severe Pruritus,Papules and crusts develop on pinnae,Progresses to the legs and feet and perineum,Lesions,Skin becomes thickened,gray-yellow crust,Large patches of lesions,Peripheral lymphadenopathy,,,,
Hyperviscosity Syndrome,both,common,Loss of Appetite,Lethargy,Depression,Excessive urination and excessive thirst,Blindness,unsteadiness,Bleeding tendencies,Seizures,Rapid heartbeat,Nosebleed,optic swelling,,,,
Traumatic Myocarditis,both,common,Fast heartbeat,Slow heartbeat,Heart murmur,Irregular breathing,Rapid breathing,Coughing,Fainting,Weakness,Vomiting,Loss of Appetite,Weight loss,,,,
Megaesophagus ,both,common,Vomiting,Vomiting,Regurgitation,dysphagia,Coughing,Nasal discharge with aspiration pneumonia,ravenous appetite or inappetence,Weight loss,Ptyalism and Halitosis,Dysphonia,Other signs depend upon underlying etiology,Cervical swelling,representing a distended cervical esophagus,Ptyalism,Halitosis
Shock-Septic,both,common,Shaking,Fever,Weakness,Confusion,Rapid heart rate,Bounding pulses,Rapid rise in temperature,Panting,Decrease in urinary output,Glucose deficiency in bloodstream,Red mucous membranes,Pale mucous membranes,Inconsistencies in pulse,Cool extremities,A daze-like condition
Urethral Prolapse ,both,five,Bleeding of urination,persistent licking of the penis,Dysuria,doughnut-shaped mass protruding,Pale mucous membranes,self-induced Trauma from licking,Uroliths may be palpable,,,,,,,,
Cataracts ,both,common,White eye,Vision loss,Cataracts that have a rapid,bilateral onset,Polyuria,,,,,,,,,,
Supraventricular Tachycardia,both,common,Weakness,Lethargy,Panting,Coughing,Fainting,Collapse,,,,,,,,,
Lymphadenitis ,both,common,Lymph node,organ dysfunction,Lymph node,Bacterial,Fever,,,,,,,,,,
Adenocarcinoma - Salivary Gland ,both,ten,Unilateral,Firm,swelling,Halitosis,Weight loss,Anorexia,dysphagia exophthalmus,Horner?s syndrome,Sneezing,dysphonia,,,,,
HemangiosarComa-Skin,both,common,Collapse,Depression,Difficulty breathing,Lack of appetite,Lethargy,Lumps on or directly under the skin,Pale mucous membranes,Shock,Ulcerated sores on skin,Visible Bleeding,Vomiting,Weakness,,,
Head Tilt,both,fifteen,Circling or Leaning,Eyeball moving around,Not being able to focus,Lack of coordination,Vomiting,Nausea,Loss of Appetite,,,,,,,,
Odontoma ,both,common,oral swelling,ocular symtoms,missing teeth,a reluctance to eat,Vomiting,drooling,,,,,,,,,
Mastitis ,both,common,Anorexia,LethargyNeglect of puppies or kittens,Failure of puppies or kittens to thrive,Firm,Swollen,Warm and painful,Fever,Dehydration and septic shock,Abscessation or gangrene of glands,,,,,,
Urethral Prolapse ,both,five,Bleeding of urination,persistent licking of the penis,Dysuria,doughnut-shaped mass protruding,Pale mucous membranes,self-induced Trauma from licking,Uroliths may be palpable,,,,,,,,
Atrial Fibrillation and Atrial Flutter,both,common,Galloping heart,Exercise intolerance,Weakness,Coughing,Dyspnea,Tachypnea,Lethargy,Syncope,Loss of consciousness,,,,,,
Disseminated Intravascular Coagulation,both,common,Excessive sleepiness,Weakness,red spots from Bleeding into the skin,Bruising,Pale gums and other mucous membranes,Jaundice,yellowing of skin,Bloody,Vomiting,Bloody,Rapid heart rate and respirations,Swelling,,,
Portosystemic Vascular Anomaly- Congenital,both,common,Stunted growth,Coughing,Gastrointestinal signs inappetence,Vomiting,Diarrhea,pica,most dramatic predominate signs,transiently improve with fluids,broad-spectrum antibiotics and lactulose,Weakness,Pacing,ataxia,Disorientation,head pressing,Blindness
Hypercapnia,both,common,Dizziness,Irregular heartbeat,Rapid heart rate,High blood pressure,Altered level of consciousness,Complete loss of consciousness,Coma,Death,,,,,,,
Atrioventricular Block - Second Degree?Mobitz II,both,ten,Extreme sleepiness or tiredness,Disoriented,Eating less than normal,Weight loss,Diarrhea,Vomiting,Fainting,Collapse,,,,,,,
Brucellosis ,female,common,Lethargy,Loss of libido,Lymph node,Back pain,Abortion,,,,,,,,,,
Synovial SarComa,both,ten,Limping,Swelling,Pain,Ulcerated sore in affected area,Fever,Loss of Appetite,Losing weight,Difficulty breathing,,,,,,,
Salivary Mucocele,both,common,Swelling of the neck,Swelling under the tongue,Difficult swallowing,Breathing difficulties,Secondary bacterial infections,Fever,Blood in saliva,,,,,,,,
Renomegaly,both,common,Lethargy,Vomiting,Diarrhea,Oral ulcers,Dehydration,Weight loss,Loss of Appetite,Discolored urine,Pale mucous membrane,Foul-smelling breath,Abdominal pain,Abdominal mass,Abnormally large abdomen,One or both kidneys palpably large,Excess urine
Pediatric Behavior Problems and trainning ,male,five,PlayBiting,The pet bites hands or legs and clothing,Bites are usually inhibited,Growling,spontaneous,Getting on Counters or Furniture,The pet gets on furniture and counters,furniture during play to get attention or to rest,,,,,,,
"Epilepsy, Genetic",male,five,collapsing,jerking,stiffening,Muscle twitching,loss of consciousness,Drooling,chomping,tongue chewing or foaming at the mouth,,,,,,,
Pericardial Effusion,male,fifteen,Lethargy,Anorexia,Weakness,Exercise intolerance,Abdominal distension,Respiratory distress occasionally Coughing,Syncope or collapse.,Vomiting,Jugular vein distension,Ascites,Muffled heart sounds,Weak arterial pulses,Pulsus paradoxus,Pallor,weak pulse
Protein-Losing Enteropathy,both,common,Diarrhea,weight loss,dogs with PLE have normal stools.,weight gain,Ascites,dependent edema,Abdominal palpation may reveal thickened bowel loops,,,,,,,,
Azotemia and Uremia,both,common,Weight loss,Anorexia,Reduced activity,Depression,Fatigue,Weakness,Vomiting,Diarrhea,Halitosis,Constipation,Polyuria,Changes in urine volume,Poor haircoat,,
Panting and Tachypnea,both,common,Coughing,hyperadrenocorticism,intermittent,Brachycephalic syndrome may be observed,Stridor,Lower airway disease,Coughing,expiratory wheezes on auscultation,abdominal effort,crackles on auscultation,harsh or moist lung sounds,Cardiogenic pulmonary edema,heart murmur or arrhythmia,Tachycardia,gallop sound
